municipio,comunidad,entrevistador,area_ejidatario,area_posesionario,area_propietario,area_total,area_rentada,area_ajena,cultivo_maiz,ha_maiz,ha_pastura,ha_vacantes,ultimo_ano_maiz,cambio_area_maiz,cambio_rendimiento_maiz,destino_tierra_donada,fertilizante,fertilizante_kg,herbicida,herbicida_lt,insecticida,insecticida_lt,fungicida,fungicida_lt,contratacion,familiares_trabajando,riego,labranza,variedad_maiz,variedad_numero,produccion_2009,rendimiento_2009,produccion_2008,rendimiento_2008,uso_domestico,uso_forraje,uso_venta,procampo,grano,grano_humano,grano_animal,grano_total,hari,hari_humano,hari_animal,hari_total,tortilla,tortilla_humano,tortilla_animal,tortilla_total,campesino,productor,agricultor,percepcion_comunidad,hijos_permanencia,maiz_10anos,ninos_mas_12,hombres_mas_12,mujeres_mas_12,total_personas_mas_12,estudiantes_mas_12,personas_contribuyendo,personas_cultivo,economia_separado,ingreso_maiz,ingreso_otros_cultivos,ingreso_gado,ingreso_trabajador_campo,ingreso_no_asalariado,ingreso_con_salario,ingreso_jubilacion,ingreso_remesas,ingreso_programas,ingreso_otros_apoyos,ingreso_otros,electricidad,internet,celular,automotor,tv,estufa,refrigerador,computadora,lavadora,personas_casa,sexo_jefe_familia,edad,escolaridad,lugar_trabajo,sector,pago,ingresos_extra,hr_no_agricultura,agricultura,hr_agricultura
almoloya,sanfrancisco,Sonia,3,0,2,5,0,0,si,4.5,0,0,2009,sincambio,disminuyo,2,si,3000,si,5,no,0,no,0,no,6,no,tractor,hibrido,3,6000,1.3,10000,2,0.5,0.5,0,no,si,22,96,118,no,0,0,0,no,0,0,0,no,si,si,otro,si,no,0,4,1,5,0,4,4,no,no,no,si,no,no,no,no,no,no,no,no,si,no,no,si,si,si,si,no,si,1,hombre,52,2,2,1,1,0,0,si,77
almoloya,sanfrancisco,Sonia,1,0,0.5,1.5,0,0,si,1.5,0,0,2009,sincambio,disminuyo,1,si,500,si,3,no,0,no,0,si,3,no,tractor,criollo,2,4200,2.8,4200,2.8,0,0.5,0.5,no,si,0,40,40,no,0,0,0,si,7,0,7,NA,no,no,ciudad,si,no,0,2,3,5,1,1,1,no,si,no,si,no,no,no,no,no,no,no,no,si,no,si,si,si,si,si,si,si,1,hombre,41,4,2,1,1,0,0,si,54
almoloya,sanfrancisco,Pepe,0.4,0,0,0.4,0,0,si,0.4,0,0,2009,sincambio,disminuyo,1,si,300,si,NA,no,0,no,0,si,2,no,tractor,criollo,1,1000,2.5,500,1.3,0.25,0.75,0,no,si,10,20,30,no,0,0,0,no,0,0,0,si,no,no,campo,si,si,0,2,3,5,0,2,2,no,no,no,no,no,no,si,no,no,no,no,no,si,no,no,si,si,si,no,no,no,4,hombre,60,2,2,8,3,0,0,si,35
almoloya,sanfrancisco,Pepe,0.5,0,0,0.5,0,0,si,5,0,0,2009,sincambio,aumento,4,si,250,si,2,no,0,no,0,no,2,no,tractor,criollo,1,3500,0.7,3500,7,0.5,0,0.5,si,si,10,0,10,no,0,0,0,no,0,0,0,no,si,no,campo,nose,si,0,4,1,5,3,1,1,no,si,no,no,no,no,si,no,no,si,no,no,si,no,no,si,si,si,si,no,si,1,hombre,51,4,4,2,2,0,48,si,6
almoloya,sanfrancisco,Pepe,0,0,0.64,0.64,0,0,si,0.64,0,0,2009,sincambio,sincambio,1,si,1000,si,2,no,0,no,0,si,3,no,tractor,criollo,3,4800,7.5,3600,5.6,0.25,0.75,0,si,si,9,52,61,no,0,0,0,no,0,0,0,si,no,no,campo,NA,si,0,4,1,5,2,1,4,no,no,no,no,no,no,si,no,no,si,no,no,si,no,si,no,si,si,si,no,no,2,hombre,52,8,4,4,2,0,60,si,10
almoloya,sanfrancisco,Tere,0,0,0.5,0.5,0,0,si,0.5,0,0,2009,sincambio,disminuyo,1,si,750,no,0,no,0,no,0,no,9,no,tractor,criollo,1,0,0,1200,2.4,0.25,0,0.75,no,si,6,0,6,no,0,0,0,no,0,0,0,no,no,no,campo,si,NA,0,1,2,3,0,3,0,no,si,no,no,no,no,si,no,no,no,si,no,si,no,no,si,si,si,si,no,no,2,hombre,75,0,1,0,0,3,0,no,0
almoloya,sanfrancisco,Tere,0,0,0.1,0.1,0,0,si,0.1,0,0,2009,disminuyo,disminuyo,1,si,100,si,1,no,0,no,0,si,2,no,tractor,criollo,1,600,6,NA,NA,0.8,0.1,0.1,no,si,6,2,8,no,0,0,0,no,0,0,0,si,si,si,campo,si,no,0,1,2,3,0,2,0,no,si,no,no,no,no,si,no,no,no,no,no,si,no,no,no,si,si,si,no,no,1,mujer,60,1,2,8,3,0,0,si,2
almoloya,sanfrancisco,Tere,0.2,0,0,0.2,0,0,si,0.2,0,0,2009,sincambio,sincambio,2,si,50,no,0,no,0,no,0,no,5,si,tractor,criollo,1,540,2.7,780,3.9,0.15,0,0.85,no,si,NA,0,NA,no,0,0,0,no,0,0,0,no,no,no,ciudad,si,si,2,1,2,3,0,1,1,no,si,no,no,no,no,si,no,no,no,no,no,si,no,no,si,si,si,si,no,si,1,mujer,30,4,2,8,3,0,0,no,0
almoloya,sanfrancisco,Tere,0,0,0.5,0.5,0,0,si,0.5,0,0,2009,sincambio,disminuyo,1,si,500,si,1,no,0,no,0,no,10,no,tractor,criollo,1,1500,3,1800,3.6,1,0,0,no,si,12,0,12,no,0,0,0,no,0,0,0,no,no,no,otro,si,no,0,3,5,8,1,5,3,no,no,no,no,no,no,si,no,no,no,si,no,si,si,no,no,si,si,si,si,no,1,hombre,49,6,4,5,2,0,48,si,18
almoloya,sanfrancisco,Sonia,1,0,0,1,0,0,si,1,0,0,2009,sincambio,aumento,6,si,400,si,1,no,0,no,0,no,4,no,tractor,criollo,1,3600,3.6,2400,2.4,0.09,0,0.91,no,si,5,0,5,no,0,0,0,no,0,0,0,si,no,si,campo,si,si,2,2,1,3,1,1,5,no,si,no,no,si,no,no,no,no,no,no,no,si,no,no,no,si,si,si,no,no,2,hombre,43,2,2,1,2,0,80,si,10
almoloya,sanfrancisco,Sonia,1,0,0,1,0,0,no,0,0,1,2006,NA,NA,1,si,1000,si,2,no,0,no,0,no,6,no,yunta,criollo,2,NA,NA,2400,2.4,1,0,0,no,no,0,0,0,no,0,0,0,si,30,0,30,si,no,no,otro,si,no,0,2,4,6,0,1,0,no,no,no,no,no,no,si,no,no,no,si,no,si,no,si,no,si,si,si,no,no,1,hombre,47,2,4,4,2,0,48,no,0
almoloya,sanfrancisco,Pepe,0.8,0,0,0.8,0,0,si,0.2,0,0,2009,disminuyo,sincambio,1,si,125,no,0,no,0,no,0,no,4,no,yunta,criollo,1,900,4.5,1200,1.5,0.25,0,0.75,no,si,4,0,4,no,0,0,0,no,0,0,0,no,no,no,otro,no,si,0,1,0,1,0,1,1,no,si,no,no,no,si,no,no,no,no,no,no,si,no,si,no,si,si,si,no,no,1,hombre,48,7,2,2,1,0,48,si,24
almoloya,sanfrancisco,Pepe,0,0,0.64,0.64,0,0,si,0.64,0,0,2009,sincambio,sincambio,1,si,750,si,2,no,0,no,0,si,6,no,tractor,criollo,1,2500,3.9,3000,4.7,0,1,0,no,si,0,30,30,no,0,0,0,si,14,0,14,no,no,si,campo,NA,no,1,2,3,5,1,1,5,no,no,no,si,no,no,si,no,no,no,no,no,si,no,no,si,si,si,si,no,no,1,hombre,47,4,4,2,2,0,48,si,8
almoloya,sanfrancisco,Pepe,0,0,0.64,0.64,0,0,si,0.64,0,0,2009,sincambio,sincambio,4,no,0,si,2,no,0,no,0,no,7,no,tractor,criollo,1,NA,NA,720,1.1,1,0,0,no,si,18,0,18,no,0,0,0,no,0,0,0,si,no,si,ciudad,si,no,7,3,3,6,0,3,6,no,no,no,no,no,si,si,no,no,no,no,no,si,no,no,no,si,si,si,no,no,1,hombre,53,4,2,2,1,0,48,si,10
almoloya,sanfrancisco,Pepe,0.5,0,0,0.5,0,0,si,0.5,0,0,2009,sincambio,NA,1,no,0,si,1,no,0,no,0,no,6,no,tractor,criollo,1,NA,NA,720,1.4,1,0,0,no,si,6,0,6,no,0,0,0,no,0,0,0,si,no,si,otro,si,si,2,2,2,4,0,1,4,no,no,no,no,no,si,no,no,no,no,si,no,si,no,no,no,si,si,si,no,no,1,hombre,79,0,2,8,3,3,0,si,12
almoloya,sanfrancisco,Sonia,0.47,0.17,0,0.64,0,0,si,0.64,0,0,2009,sincambio,disminuyo,1,si,50,no,0,no,0,no,0,no,4,no,tractor,criollo,1,NA,NA,2400,3.8,1,0,0,no,si,10,0,10,no,0,0,0,no,0,0,0,si,si,si,campo,si,no,2,1,3,4,0,2,4,no,no,no,no,no,si,no,no,no,no,no,no,si,no,no,no,si,si,no,no,no,2,hombre,69,1,2,8,3,0,0,si,8
almoloya,sanfrancisco,Sonia,0,0,0.11,0.11,0,0,si,0.11,0,0,2009,disminuyo,disminuyo,1,no,0,no,0,no,0,no,0,no,1,no,tractor,criollo,1,NA,NA,480,4.4,1,0,0,no,si,12,0,12,no,0,0,0,no,0,0,0,no,no,no,ciudad,si,si,2,1,1,2,0,1,1,no,no,no,no,no,si,no,no,no,no,no,no,si,no,si,no,si,si,no,no,no,1,hombre,34,4,2,4,1,0,50,si,4
almoloya,sanfrancisco,Sonia,0.7,0,0.15,0.85,0,0,si,0.85,0,0,2009,disminuyo,sincambio,1,si,400,si,2,no,0,no,0,si,0,no,tractor,criollo,1,NA,NA,1000,1.2,0,0.85,0.15,si,no,0,0,0,no,0,0,0,si,3,0,3,si,si,si,otro,si,si,0,1,1,2,0,2,1,no,si,no,si,no,no,si,no,no,no,no,no,si,si,si,no,si,si,si,si,si,1,hombre,57,7,2,1,1,0,0,si,60
almoloya,sanfrancisco,Sonia,1.25,0,0,1.25,0,0,no,0,0,0,1999,NA,NA,1,si,NA,si,NA,no,0,no,0,no,0,no,tractor,NA,NA,NA,NA,4800,3.8,0.75,0.25,0,no,no,0,0,0,no,0,0,0,si,7,0,7,si,no,si,otro,NA,no,2,1,3,4,2,1,1,no,no,no,no,no,si,no,no,no,no,no,no,si,si,no,si,si,si,si,si,si,1,hombre,43,6,4,3,2,0,18,si,6
almoloya,sanfrancisco,Tere,0,0.75,0,0.75,0,0,si,0.75,0,0,2009,sincambio,disminuyo,2,si,NA,si,2,si,2,no,0,no,6,no,yunta,criollo,1,NA,NA,240,0.3,1,0,0,no,si,12,0,12,no,0,0,0,no,0,0,0,si,no,si,ciudad,si,no,0,4,3,7,0,4,4,no,no,no,si,no,no,no,no,no,no,no,no,si,no,no,no,si,si,no,no,no,1,hombre,54,4,2,1,1,0,0,si,72
almoloya,sanfrancisco,Tere,1.84,0,0,1.84,0,0,si,1.84,0,0,2009,sincambio,disminuyo,1,si,2000,si,5,no,0,no,0,si,0,si,tractor,criollo,1,2100,1.1,6000,3.3,0.08,0,0.92,si,si,24,0,24,no,0,0,0,no,0,0,0,si,no,si,campo,si,no,1,1,2,3,1,2,1,no,si,no,no,no,no,si,no,no,no,si,no,si,no,no,no,si,si,si,no,si,2,hombre,86,0,2,1,1,0,0,si,12
almoloya,sanfrancisco,Sonia,0.2,0,0,0.2,0,0.2,si,0.4,0,0,2009,disminuyo,disminuyo,6,si,1000,si,2,si,2,si,200,si,5,no,tractor,criollo,2,2000,5,2000,5,0.5,0,0.5,no,si,30,0,30,no,0,0,0,no,0,0,0,no,no,no,otro,si,no,1,2,3,5,1,1,1,no,si,no,no,no,no,si,no,no,no,no,no,si,no,si,si,si,si,si,no,no,1,hombre,45,4,2,2,2,0,48,si,36
almoloya,sanfrancisco,Sonia,1,0,0,1,0,0,si,1,0,0,2009,sincambio,disminuyo,1,si,1000,si,4,no,0,no,0,si,10,no,tractor,criollo,1,3000,3,3000,3,0.17,0,0.83,no,si,15,0,15,no,0,0,0,no,0,0,0,no,no,si,otro,no,no,0,2,1,3,0,2,1,no,si,no,no,no,no,si,no,no,no,no,no,si,no,no,no,si,si,no,no,no,1,hombre,60,1,4,3,2,0,48,si,48
almoloya,sanfrancisco,Sonia,0,0,0.25,0.25,0,0,si,0.25,0,0,2009,sincambio,disminuyo,1,si,250,si,500,no,0,no,0,no,2,no,tractor,criollo,1,750,3,1050,4.2,1,0,0,no,si,37.5,0,37.5,no,0,0,0,no,0,0,0,si,no,si,otro,si,si,1,3,3,6,0,5,2,no,no,no,no,no,si,si,no,no,no,si,no,si,no,no,si,si,si,no,no,no,2,hombre,54,4,4,2,2,0,48,no,0
almoloya,sanfrancisco,Sonia,0.2,0,0,0.2,0,0,si,0.1,0,0,2009,disminuyo,disminuyo,1,si,100,no,0,no,0,no,0,no,2,no,tractor,criollo,1,300,3,NA,NA,0.75,0.25,0,no,si,6,3,9,no,0,0,0,no,0,0,0,no,no,no,campo,si,no,4,4,2,6,0,3,1,no,no,no,no,no,si,si,no,no,no,si,no,si,no,no,no,si,si,no,no,no,1,hombre,70,2,1,0,3,3,0,si,60
almoloya,sanfrancisco,Sonia,0.5,0,0,0.5,0,0,si,0.5,0,0,2009,sincambio,sincambio,1,si,NA,si,NA,si,NA,no,0,si,2,no,tractor,criollo,1,1920,3.8,900,1.8,0.25,0,0.75,no,si,7.5,0,7.5,no,0,0,0,no,0,0,0,si,si,si,ciudad,si,NA,0,1,3,4,1,2,1,no,no,no,no,no,si,no,no,no,no,no,no,si,no,si,no,si,si,si,no,si,4,hombre,67,0,4,2,1,0,56,si,36
almoloya,sanfrancisco,Sonia,1,0,0,1,0,0,si,1,0,0,2009,sincambio,disminuyo,1,si,NA,si,NA,no,0,no,0,si,4,no,tractor,criollo,1,3000,3,3000,3,1,0,0,si,si,18,0,18,no,0,0,0,no,0,0,0,si,no,si,ciudad,si,si,0,1,1,2,0,2,1,no,no,no,no,no,no,no,no,no,no,si,no,si,no,no,no,si,si,si,no,no,1,hombre,74,1,1,1,3,3,0,si,36
almoloya,sanfrancisco,Sonia,1,0,0,1,0,0,no,0,0,1,2005,disminuyo,NA,2,si,500,si,1,no,0,no,0,no,4,no,tractor,criollo,2,NA,NA,NA,NA,0,0,1,no,no,0,0,0,no,0,0,0,si,4,0,4,no,no,no,otro,si,si,0,1,1,2,0,1,0,no,no,no,no,no,si,no,no,no,no,no,no,si,no,si,si,si,si,si,no,no,1,hombre,37,4,2,3,1,0,56,no,0
almoloya,sanfrancisco,Tere,2,0,3,5,0,0,si,3.8,0,0,2009,sincambio,disminuyo,1,si,NA,si,3,si,1,no,0,si,5,no,tractor,criollo,3,4000,1.1,4500,0.9,0.27,0.33,0.4,si,si,30,30,60,no,0,0,0,no,0,0,0,si,si,no,campo,si,no,6,5,5,10,0,5,5,no,si,no,no,no,no,si,no,no,no,no,no,si,no,no,no,si,si,si,no,no,2,hombre,48,4,4,4,2,0,48,si,4
almoloya,sanfrancisco,Sonia,2,0,0,2,0,0,si,1.8,0,0,2009,sincambio,disminuyo,1,si,900,si,100,no,0,no,0,si,7,no,tractor,criollo,1,2800,1.6,3150,1.6,0.19,0.63,0.17,si,si,12,40,52,no,0,0,0,no,0,0,0,si,no,si,ciudad,si,no,0,1,1,2,0,2,2,no,si,no,no,no,no,no,no,no,si,no,no,si,no,no,si,si,si,si,no,si,2,hombre,59,2,2,1,1,0,0,si,30
